Name,Time,Stat,Sportsbook,Sportsbook Line,DFS Line,Discrepancy,Over Price,Under Price,% Over,% Under,Payout,Higher/Lower,EV
Caio Henrique,10:00am,Shots Attempted,PrizePicks,0.5,0.5,0,1.817,1.817,0.5,0.5,1.25x,Higher,46.5%
Takumi Minamino,10:00am,Shots on Target,PrizePicks,0.5,0.5,0.0,1.817,1.817,0.5,0.5,1.23x,Lower,39.6%
Noni Madueke,4:30am,Shots Attempted,PrizePicks,2.5,2.5,0.0,1.817,1.817,0.5,0.5,1.15x,Lower,14.1%
Bertug Yildirim,12:00pm,Shots on Target,PrizePicks,0.5,0.5,0.0,1.817,1.817,0.5,0.5,1.15x,Lower,14.1%
