Name,Time,Stat,Sportsbook,Sportsbook Line,DFS Line,Discrepancy,Over Price,Under Price,% Over,% Under,Payout,Higher/Lower,EV
Bennedict Mathurin,4:00pm,Rebounds,Pinnacle,6.5,6.5,0.0,2.15,1.649,0.4340615951566201,0.5659384048433798,0.87x,Lower,-28.4%
Clint Capela,4:30pm,Rebounds,Pinnacle,9.5,9.5,0,1.709,2.06,0.5465640753515522,0.4534359246484478,0.9x,Higher,-28.6%
Pascal Siakam,4:00pm,Rebounds,Pinnacle,7.5,7.5,0.0,2.11,1.671,0.441946574980164,0.558053425019836,0.88x,Lower,-28.9%
LaMelo Ball,4:00pm,Points,Pinnacle,31.5,31.5,0.0,1.952,1.793,0.4787716955941254,0.5212283044058744,0.94x,Lower,-29.4%
Brandon Miller,4:00pm,Assists,Pinnacle,3.5,3.5,0.0,2.16,1.645,0.4323258869908016,0.5676741130091985,0.86x,Lower,-30.2%
Brandon Miller,4:00pm,Rebounds,Pinnacle,5.5,5.5,0,1.671,2.11,0.558053425019836,0.441946574980164,0.87x,Higher,-31.3%
Wendell Carter Jr.,4:00pm,Rebounds,Pinnacle,6.5,6.5,0.0,1.943,1.8,0.4808976756612342,0.5191023243387657,0.93x,Lower,-32.5%
Derrick White,4:30pm,Assists,Pinnacle,4.5,4.5,0.0,2.15,1.649,0.4340615951566201,0.5659384048433798,0.85x,Lower,-33.2%
Jamal Murray,6:00pm,Assists,Pinnacle,5.5,5.5,0,1.709,2.06,0.5465640753515522,0.4534359246484478,0.88x,Higher,-33.2%
Brandon Ingram,4:00pm,Assists,Pinnacle,5.5,5.5,0,1.719,2.05,0.5439108516847969,0.456089148315203,0.88x,Higher,-34.2%
Cam Thomas,7:00pm,Assists,Pinnacle,3.5,3.5,0,1.806,1.934,0.5171122994652405,0.4828877005347593,0.92x,Higher,-35.4%
Josh Hart,6:00pm,Rebounds,Pinnacle,8.5,8.5,0,1.8,1.952,0.5202558635394456,0.4797441364605543,0.9x,Higher,-38.4%
Jaylen Brown,4:30pm,Rebounds,Pinnacle,5.5,5.5,0.0,1.909,1.826,0.4888888888888889,0.5111111111111111,0.91x,Lower,-39.6%
