Name,Time,Stat,Sportsbook,Sportsbook Line,DFS Line,Discrepancy,Over Price,Under Price,% Over,% Under,Payout,Higher/Lower,EV
Wendell Carter Jr.,4:00pm,Pts + Rebs + Asts,Pinnacle,17.5,17.5,0.0,1.961,1.781,0.4759486905398182,0.5240513094601817,1x,Lower,-13.6%
Bennedict Mathurin,4:00pm,Points,Pinnacle,18.5,18.5,0,1.781,1.961,0.5240513094601817,0.4759486905398182,1x,Higher,-13.6%
Tobias Harris,4:00pm,Points,Pinnacle,15.5,15.5,0.0,1.961,1.781,0.4759486905398182,0.5240513094601817,1x,Lower,-13.6%
RJ Barrett,4:00pm,Assists,Pinnacle,4.5,4.5,0,1.781,1.961,0.5240513094601817,0.4759486905398182,1x,Higher,-13.6%
Tim Hardaway Jr.,4:00pm,Points,Pinnacle,10.5,10.5,0,1.781,1.961,0.5240513094601817,0.4759486905398182,1x,Higher,-13.6%
Tyrese Haliburton,4:00pm,Pts + Rebs + Asts,Pinnacle,30.5,30.5,0,1.781,1.961,0.5240513094601817,0.4759486905398182,1x,Higher,-13.6%
Shai Gilgeous-Alexander,7:00pm,Points,Pinnacle,30.5,30.5,0,1.787,1.961,0.5232123799359658,0.4767876200640341,1x,Higher,-14.1%
Anfernee Simons,5:00pm,Pts + Rebs + Asts,Pinnacle,27.5,27.5,0.0,1.961,1.787,0.4767876200640341,0.5232123799359658,1x,Lower,-14.1%
Jalen Suggs,4:00pm,Points,Pinnacle,15.5,15.5,0.0,1.961,1.787,0.4767876200640341,0.5232123799359658,1x,Lower,-14.1%
Nikola Jokic,6:00pm,Rebounds,Pinnacle,12.5,12.5,0.0,1.961,1.787,0.4767876200640341,0.5232123799359658,1x,Lower,-14.1%
Nikola Jokic,6:00pm,Points,Pinnacle,27.5,27.5,0,1.787,1.961,0.5232123799359658,0.4767876200640341,1x,Higher,-14.1%
Nikola Jokic,6:00pm,Pts + Rebs + Asts,Pinnacle,50.5,51.5,1.0,1.74,2.02,0.522422207297488,0.477577792702512,1x,Higher,-14.5%
OG Anunoby,6:00pm,Pts + Rebs + Asts,Pinnacle,25.5,25.5,0.0,1.961,1.793,0.4776238678742673,0.5223761321257325,1x,Lower,-14.5%
Tobias Harris,4:00pm,Pts + Rebs + Asts,Pinnacle,26.5,25.5,-1.0,2.08,1.699,0.4778142700694555,0.5221857299305447,1x,Lower,-14.6%
Cam Thomas,7:00pm,Points,Pinnacle,24.5,24.0,-0.5,2.17,1.636,0.4787763838768925,0.5212236161231075,1x,Lower,-15.0%
Scottie Barnes,4:00pm,Pts + Rebs + Asts,Pinnacle,31.5,31.5,0.0,1.952,1.793,0.4787716955941254,0.5212283044058744,1x,Lower,-15.0%
OG Anunoby,6:00pm,Points,Pinnacle,17.5,17.5,0,1.793,1.952,0.5212283044058744,0.4787716955941254,1x,Higher,-15.0%
Dyson Daniels,4:30pm,Points,Pinnacle,11.5,11.5,0,1.793,1.952,0.5212283044058744,0.4787716955941254,1x,Higher,-15.0%
Derrick White,4:30pm,Points,Pinnacle,15.5,15.5,0.0,1.952,1.793,0.4787716955941254,0.5212283044058744,1x,Lower,-15.0%
Dereck Lively II,4:30pm,Points,Pinnacle,8.5,8.5,0,1.793,1.952,0.5212283044058744,0.4787716955941254,1x,Higher,-15.0%
Stephen Curry,7:00pm,Pts + Rebs + Asts,Pinnacle,35.5,35.5,0,1.793,1.952,0.5212283044058744,0.4787716955941254,1x,Higher,-15.0%
Jaden Ivey,4:00pm,Points,Pinnacle,20.5,20.5,0.0,1.952,1.793,0.4787716955941254,0.5212283044058744,1x,Lower,-15.0%
