Name,Team,Opponent,Stat,Line,Date,Time,Sport
Squirrel White,TEN,OSU,Receiving Yards,25.5,2024-12-21,05:00pm,CFB
Jeremiah Smith,OSU,TEN,Longest Reception,26.5,2024-12-21,05:00pm,CFB
Dont'e Thornton,TEN,OSU 1st Half,Receiving Yards,17.5,2024-12-21,05:00pm,CFB1H
Dont'e Thornton,TEN,OSU,Receiving Yards,32.5,2024-12-21,05:00pm,CFB
Jeremiah Smith,OSU,TEN 1st Half,Receiving Yards,34.5,2024-12-21,05:00pm,CFB1H
Jeremiah Smith,OSU,TEN,Receiving Yards,69.5,2024-12-21,05:00pm,CFB
Chris Brazzell,TEN,OSU,Longest Reception,15.5,2024-12-21,05:00pm,CFB
Emeka Egbuka,OSU,TEN 1st Half,Receiving Yards,25.5,2024-12-21,05:00pm,CFB1H
Dont'e Thornton,TEN,OSU,Longest Reception,18.5,2024-12-21,05:00pm,CFB
Emeka Egbuka,OSU,TEN,Receiving Yards,51.5,2024-12-21,05:00pm,CFB
Carnell Tate,OSU,TEN 1st Half,Receiving Yards,24.5,2024-12-21,05:00pm,CFB1H
Carnell Tate,OSU,TEN,Receiving Yards,51.5,2024-12-21,05:00pm,CFB
Sam LaPorta,DET,CHI 1st Half,Receiving Yards,21.5,2024-12-22,10:00am,NFL1H
Sam LaPorta,DET,CHI,Receiving Yards,43.5,2024-12-22,10:00am,NFL
Chris Brazzell,TEN,OSU,Receiving Yards,23.5,2024-12-21,05:00pm,CFB
Chris Brazzell,TEN,OSU 1st Half,Receiving Yards,11.5,2024-12-21,05:00pm,CFB1H
Max Gilbert,TEN,OSU,Kicking Points,5.5,2024-12-21,05:00pm,CFB
Cairo Santos,CHI,DET,Kicking Points,5.5,2024-12-22,10:00am,NFL
Jake Bates,DET,CHI,Kicking Points,7.0,2024-12-22,10:00am,NFL
Miles Kitselman,TEN,OSU,Receiving Yards,19.5,2024-12-21,05:00pm,CFB
Gee Scott,OSU,TEN,Receiving Yards,13.5,2024-12-21,05:00pm,CFB
kensizor,kONO,Preasy MAPS 1-2,MAPS 1-2 Kills,36.5,2024-12-19,01:00am,CS2
Bogdan Bogdanovic,ATL,SAS,Points,11.5,2024-12-19,05:10pm,NBA
Bogdan Bogdanovic,ATL,SAS,Pts+Asts,14.5,2024-12-19,05:10pm,NBA
