Name,Team,Opponent,Stat,Line,Date,Time,Sport
Omar Cooper,IU,ND,Receiving Yards,29.5,2024-12-20,05:00pm,CFB
Mitch Jeter,ND,IU,Kicking Points,6.5,2024-12-20,05:00pm,CFB
Zach Horton,IU,ND 1st Half,Receiving Yards,7.5,2024-12-20,05:00pm,CFB1H
Zach Horton,IU,ND,Receiving Yards,14.5,2024-12-20,05:00pm,CFB
Beaux Collins,ND,IU 1st Half,Receiving Yards,15.5,2024-12-20,05:00pm,CFB1H
Beaux Collins,ND,IU,Receiving Yards,30.5,2024-12-20,05:00pm,CFB
Jordan Faison,ND,IU 1st Half,Receiving Yards,12.5,2024-12-20,05:00pm,CFB1H
Jordan Faison,ND,IU,Receiving Yards,24.5,2024-12-20,05:00pm,CFB
Mitchell Evans,ND,IU 1st Half,Receiving Yards,14.5,2024-12-20,05:00pm,CFB1H
Mitchell Evans,ND,IU,Receiving Yards,29.5,2024-12-20,05:00pm,CFB
Drew Allar,PSU,SMU 1st Half,Rush Yards,7.5,2024-12-21,09:00am,CFB1H
Drew Allar,PSU,SMU,Rush Yards,15.5,2024-12-21,09:00am,CFB
Drew Allar,PSU,SMU,Pass Yards,224.5,2024-12-21,09:00am,CFB
Drew Allar,PSU,SMU 1st Half,Pass Yards,112.5,2024-12-21,09:00am,CFB1H
Drew Allar,PSU,SMU,Pass Attempts,29.5,2024-12-21,09:00am,CFB
Drew Allar,PSU,SMU,Pass Completions,18.5,2024-12-21,09:00am,CFB
Kevin Jennings,SMU,PSU,Pass Yards,225.5,2024-12-21,09:00am,CFB
Kevin Jennings,SMU,PSU,Pass+Rush Yds,247.5,2024-12-21,09:00am,CFB
Kevin Jennings,SMU,PSU 1st Half,Rush Yards,8.5,2024-12-21,09:00am,CFB1H
Kevin Jennings,SMU,PSU 1st Half,Pass Yards,113.5,2024-12-21,09:00am,CFB1H
Kevin Jennings,SMU,PSU,Rush Yards,18.5,2024-12-21,09:00am,CFB
Kaytron Allen,PSU,SMU 1st Half,Receiving Yards,2.5,2024-12-21,09:00am,CFB1H
Kaytron Allen,PSU,SMU,Rush+Rec Yds,63.5,2024-12-21,09:00am,CFB
Kaytron Allen,PSU,SMU 1st Half,Rush Yards,26.5,2024-12-21,09:00am,CFB1H
Kaytron Allen,PSU,SMU,Longest Rush,15.5,2024-12-21,09:00am,CFB
Kaytron Allen,PSU,SMU,Receiving Yards,5.5,2024-12-21,09:00am,CFB
Kaytron Allen,PSU,SMU,Rush Yards,51.5,2024-12-21,09:00am,CFB
Kaytron Allen,PSU,SMU,Rush Attempts,11.0,2024-12-21,09:00am,CFB
Unknown Player,Unknown Team,SMU,Receiving Yards,30.5,2024-12-21,09:00am,Unknown League
Unknown Player,Unknown Team,SMU,Rush+Rec Yds,99.5,2024-12-21,09:00am,Unknown League
Unknown Player,Unknown Team,SMU,Rush Yards,62.5,2024-12-21,09:00am,Unknown League
Unknown Player,Unknown Team,SMU,Longest Reception,14.5,2024-12-21,09:00am,Unknown League
Nicholas Singleton,PSU,SMU 1st Half,Receiving Yards,13.5,2024-12-21,09:00am,CFB1H
Unknown Player,Unknown Team,SMU,Longest Rush,16.5,2024-12-21,09:00am,Unknown League
Nicholas Singleton,PSU,SMU 1st Half,Rush Yards,28.5,2024-12-21,09:00am,CFB1H
Brashard Smith,SMU,PSU,Longest Reception,11.5,2024-12-21,09:00am,CFB
Brashard Smith,SMU,PSU 1st Half,Rush Yards,38.5,2024-12-21,09:00am,CFB1H
Brashard Smith,SMU,PSU,Longest Rush,18.5,2024-12-21,09:00am,CFB
Brashard Smith,SMU,PSU 1st Half,Receiving Yards,9.5,2024-12-21,09:00am,CFB1H
Brashard Smith,SMU,PSU,Receiving Yards,23.5,2024-12-21,09:00am,CFB
Brashard Smith,SMU,PSU,Rush Yards,79.5,2024-12-21,09:00am,CFB
Tyler Warren,PSU,SMU,Longest Reception,24.5,2024-12-21,09:00am,CFB
Harrison Wallace,PSU,SMU,Receiving Yards,39.5,2024-12-21,09:00am,CFB
Kevin Jennings,SMU,PSU,Longest Rush,12.5,2024-12-21,09:00am,CFB
Harrison Wallace,PSU,SMU 1st Half,Receiving Yards,19.5,2024-12-21,09:00am,CFB1H
Unknown Player,Unknown Team,SMU,Receptions,3.5,2024-12-21,09:00am,Unknown League
Omari Evans,PSU,SMU,Receiving Yards,17.5,2024-12-21,09:00am,CFB
Omari Evans,PSU,SMU 1st Half,Receiving Yards,8.5,2024-12-21,09:00am,CFB1H
Key'Shawn Smith,SMU,PSU,Longest Reception,20.5,2024-12-21,09:00am,CFB
Ryan Barker,PSU,SMU,Kicking Points,7.0,2024-12-21,09:00am,CFB
Matthew Hibner,SMU,PSU,Longest Reception,17.5,2024-12-21,09:00am,CFB
Tyler Warren,PSU,SMU,Receiving Yards,70.5,2024-12-21,09:00am,CFB
Tyler Warren,PSU,SMU 1st Half,Receiving Yards,35.5,2024-12-21,09:00am,CFB1H
Roderick Daniels,SMU,PSU,Longest Reception,21.5,2024-12-21,09:00am,CFB
Collin Rogers,SMU,PSU,Kicking Points,5.5,2024-12-21,09:00am,CFB
Jordan Hudson,SMU,PSU,Receiving Yards,24.5,2024-12-21,09:00am,CFB
